ticker,target_date,bar_count,frame_a_s_n,frame_b_s_n,abs_diff,both_in_w1_band,only_a,only_b,band_label
CCOR,2020-04-06,2,0.9664266126787167,1.123034027366779,0.15660741468806227,False,True,False,only_A_in_band
RIG,2020-04-14,2,0.9450016602730038,1.0422959852520512,0.09729432497904744,False,False,False,neither_in_band
ANGI,2020-04-03,2,0.9191143034955267,0.4932902636874907,0.425824039808036,False,False,False,neither_in_band
AVUV,2020-04-03,2,0.9428775897886037,0.5362729788027851,0.40660461098581857,False,False,False,neither_in_band
HASI,2020-04-03,2,0.9439733111963798,0.5386671462392445,0.40530616495713534,False,False,False,neither_in_band
IWX,2020-04-13,7,0.9032283965070594,0.9618276434329961,0.058599246925936654,False,False,True,only_B_in_band
CLPS,2020-04-13,2,0.9505338704381812,0.29057159125428805,0.659962279183893,False,False,False,neither_in_band
FITBO,2020-04-03,2,0.9588943482369555,0.5573267245655653,0.4015676236713902,False,True,False,only_A_in_band
AESR,2020-04-03,2,0.9549942598932031,0.5578642555695058,0.39713000432369727,False,True,False,only_A_in_band
ANGI,2020-04-24,16,0.8900853705302635,0.942265681859167,0.05218031132890355,False,False,False,neither_in_band
FXZ,2020-04-03,2,0.9459637548736416,0.5373069436050544,0.4086568112685872,False,False,False,neither_in_band
IDYA,2020-04-03,2,0.9522699961125103,0.557269820928398,0.39500017518411223,False,False,False,neither_in_band
PEJ,2020-04-03,2,0.9535891898564751,0.5522572933969478,0.40133189645952727,False,False,False,neither_in_band
HLX,2020-04-07,2,0.9540539349956046,1.1598343603376482,0.20578042534204355,False,True,False,only_A_in_band
ANGO,2020-04-03,2,0.9578476920143556,0.5517042138830047,0.4061434781313509,False,True,False,only_A_in_band
FTS,2020-04-03,2,0.9667139038876811,0.5392281253282608,0.42748577855942027,False,True,False,only_A_in_band
CHGX,2020-04-03,2,0.947421627417156,0.551068490291098,0.396353137126058,False,False,False,neither_in_band
JUST,2020-04-30,20,1.0380102921031544,0.8691900724330436,0.16882021967011085,False,False,False,neither_in_band
WSC,2020-04-22,14,1.0715758104396595,0.9514927029756107,0.12008310746404882,False,False,False,neither_in_band
BAC,2020-04-22,14,0.8253348925772848,0.8518359376644568,0.026501045087171993,False,False,False,neither_in_band
BYD,2020-04-03,2,0.946452920913415,0.5449747370321236,0.4014781838812914,False,False,False,neither_in_band
NWSA,2020-04-03,2,0.9700671933183034,0.5517973090829805,0.41826988423532285,False,False,False,neither_in_band
FTDR,2020-04-08,5,0.9059911540376956,0.9404819209192001,0.03449076688150454,False,False,False,neither_in_band
FMAO,2020-04-09,6,0.9071217943488911,0.9138688171258424,0.0067470227769513835,False,False,False,neither_in_band
LBTYA,2020-04-03,2,0.948329731461508,0.5478221471014268,0.40050758436008116,False,False,False,neither_in_band
TDV,2020-04-03,2,0.9258408595822254,0.487654409797329,0.4381864497848964,False,False,False,neither_in_band
WBIY,2020-04-03,2,0.9584486601539112,0.5496931589246461,0.4087555012292651,False,True,False,only_A_in_band
BZH,2020-04-03,2,0.9516113353700146,0.5536214412436785,0.3979898941263361,False,False,False,neither_in_band
TTC,2020-04-09,6,0.8969683623765674,0.9252764696881802,0.028308107311612818,False,False,False,neither_in_band
KOD,2020-04-03,2,0.9147841567465042,0.4826710910924223,0.43211306565408186,False,False,False,neither_in_band
MPB,2020-04-22,14,0.9497850958667022,0.9402136576935253,0.00957143817317696,False,False,False,neither_in_band
ALEC,2020-04-24,16,0.9392443778025106,0.8127159779520639,0.12652839985044673,False,False,False,neither_in_band
CLIX,2020-04-03,2,0.9522805673653018,0.5543406315899901,0.3979399357753116,False,False,False,neither_in_band
AVXL,2020-04-03,2,0.9529446927142741,0.5589496261355548,0.3939950665787193,False,False,False,neither_in_band
FID,2020-04-03,2,0.9578693175353963,0.5469676317198124,0.41090168581558384,False,True,False,only_A_in_band
ACTG,2020-04-07,2,0.9574399825617745,1.0875460466622353,0.13010606410046077,False,True,False,only_A_in_band
IHY,2020-04-03,2,0.97216531048502,0.551112160575627,0.421053149909393,False,False,False,neither_in_band
PFEB,2020-04-03,2,0.9556820003767428,0.5504538216185824,0.4052281787581604,False,True,False,only_A_in_band
TEVA,2020-04-03,2,0.9627700368491533,0.5482750919304963,0.414494944918657,False,True,False,only_A_in_band
TOK,2020-04-17,11,0.8987868273648886,0.9211272112143654,0.022340383849476786,False,False,False,neither_in_band
CMCSA,2020-04-09,6,0.9089800506553642,0.9461792195524875,0.03719916889712327,False,False,False,neither_in_band
