ticker,delta_bar,n_rows,classification
EEMO,0.23839563172079772,1231,normal
EEMS,0.248946684035514,1560,normal
EEMX,0.2225393679900057,1550,normal
EES,0.27855098530439903,1562,volatile
EFAD,0.2705742298429431,1543,volatile
EFAS,0.23804916869263731,1114,normal
EFC,0.19804705443883275,1287,calm
EFNL,0.2704481235565711,1557,volatile
EFSC,0.2698006665658147,1562,volatile
EFU,0.19484382810310422,1494,calm
EFZ,0.13505146229335774,1276,calm
EGBN,0.2889301812460731,1561,volatile
EGO,0.20523691644127678,1522,calm
EHC,0.2591854603187585,1561,normal
EIDO,0.2727900071561807,1470,volatile
EIG,0.27296905503274727,1562,volatile
EIRL,0.27702836483198584,1560,volatile
EIX,0.25958511103170273,1562,normal
ELA,0.17236985019150733,1197,calm
ELAN,0.2458195320244295,1543,normal
ELD,0.2553964527705071,1271,normal
ELTK,0.20777048600957854,1139,calm
EMCB,0.2752216752650995,1363,volatile
EMHY,0.25645017164831985,1258,normal
EMLC,0.26322554646617846,1101,normal
EMNT,0.1826316249439527,191,calm
EMP,0.27410129853417514,1082,volatile
EMTY,0.15220223737998048,1351,calm
ENB,0.2709953874466133,1556,volatile
ENFR,0.27492557835017445,1515,volatile
ENIC,0.28581067043145264,313,volatile
ENR,0.22822646470463653,1562,normal
ENTX,0.2078064853395135,553,calm
ENZL,0.29890787083567555,1560,volatile
EOLS,0.21632710409168524,1491,normal
EPAC,0.26721997064467945,1562,normal
EPD,0.2678014957467264,1483,normal
EPHE,0.2628966740066205,1533,normal
EPM,0.23337522246054385,1045,normal
EPOL,0.26587732368650724,1545,normal
EPR,0.2507349671139664,1562,normal
EPS,0.2205691695470986,1554,normal
EPSN,0.23025805098152868,846,normal
EPU,0.202170828429397,1557,calm
EPV,0.16561186969269864,1561,calm
EQ,0.14605563783924724,741,calm
EQBK,0.27152366960870056,1560,volatile
EQL,0.24642638455473886,1514,normal
EQNR,0.2594974277834468,1561,normal
EQR,0.2911540861690077,1561,volatile
EQS,0.2578031252044762,213,normal
EQWL,0.2660707214700823,1561,normal
EQX,0.24882469807404056,1394,normal
ERIC,0.248169094970419,1098,normal
ES,0.2945040525332734,1562,volatile
ESCA,0.22004223255328992,1533,normal
ESGG,0.2472757618427344,1559,normal
ESGU,0.27213486236085366,1562,volatile
ESGV,0.27242698901448353,1562,volatile
ESI,0.25086522453327903,1546,normal
ESNT,0.29405484935857246,1562,volatile
ESP,0.2019740094684618,1494,calm
ESPO,0.32521660524291407,1561,volatile
ESQ,0.265725406033096,1559,normal
ESRT,0.2357649113317682,1326,normal
ET,0.24914860341893214,1296,normal
ETN,0.09239685143837169,1562,calm
ETON,0.2001664124317695,1216,calm
ETR,0.2433691689234417,1562,normal
EUFN,0.27888248704244323,1496,volatile
EUSA,0.2871671036953048,1561,volatile
EVER,0.21094192133934675,1556,calm
EVH,0.21073063308566795,1527,calm
EVI,0.2897230155725107,1559,volatile
EVRG,0.2712101837263656,1561,volatile
EVTC,0.2607822600161722,1561,normal
EWA,0.2889416082014279,1518,volatile
EWC,0.27892032966511227,1558,volatile
EWG,0.24264478454617217,1540,normal
EWH,0.267887503609296,1472,normal
EWI,0.2416856540020103,1556,normal
EWJ,0.28377577354711325,1560,volatile
EWJV,0.27899843165691124,1502,volatile
EWK,0.2707264538296353,1397,volatile
EWL,0.2786388383372791,1559,volatile
EWM,0.25406635885645124,1402,normal
